id,title,type,status,year,season,genre,rating,totalEpisodes,source,siteUrl
animeav1-reiwa-no-dara-san,Reiwa no Dara-san,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/reiwa-no-dara-san
animeav1-rakudai-kenja-no-gakuin-musou-nidome-no-tensei-s-rank-cheat-majutsushi-boukenroku,"Rakudai Kenja no Gakuin Musou: Nidome no Tensei, S-Rank Cheat Majutsushi Boukenroku",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/rakudai-kenja-no-gakuin-musou-nidome-no-tensei-s-rank-cheat-majutsushi-boukenroku
animeav1-bungou-stray-dogs-wan-2,Bungou Stray Dogs Wan! 2,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/bungou-stray-dogs-wan-2
animeav1-lv999-no-murabito,Lv999 no Murabito,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/lv999-no-murabito
animeav1-world-is-dancing,World Is Dancing,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/world-is-dancing
animeav1-heroine-seijo-iie-all-works-maid-desu-hokori,"Heroine? Seijo? Iie, All Works Maid desu (Hokori)!",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/heroine-seijo-iie-all-works-maid-desu-hokori
animeav1-mujikaku-seijo-wa-kyou-mo-muishiki-ni-chikara-wo-tare-nagasu,Mujikaku Seijo wa Kyou mo Muishiki ni Chikara wo Tare Nagasu,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/mujikaku-seijo-wa-kyou-mo-muishiki-ni-chikara-wo-tare-nagasu
animeav1-super-no-ura-de-yani-suu-futari-mini,Super no Ura de Yani Suu Futari Mini,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/super-no-ura-de-yani-suu-futari-mini
animeav1-devil-may-cry-2026,Devil May Cry 2026,TV,,2026,,anime,,,AnimeAV1,https://animeav1.com/media/devil-may-cry-2026
animeav1-boku-no-hero-academia-more,Boku no Hero Academia: More,ESPECIAL,,,,anime,,,AnimeAV1,https://animeav1.com/media/boku-no-hero-academia-more
animeav1-dandelion,Dandelion,ONA,,,,anime,,,AnimeAV1,https://animeav1.com/media/dandelion
animeav1-aishiteru-game-wo-owarasetai,Aishiteru Game wo Owarasetai,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/aishiteru-game-wo-owarasetai
animeav1-tsue-to-tsurugi-no-wistoria-season-2,Tsue to Tsurugi no Wistoria Season 2,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tsue-to-tsurugi-no-wistoria-season-2
animeav1-ichijouma-mankitsugurashi,Ichijouma Mankitsugurashi!,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ichijouma-mankitsugurashi
animeav1-kuroneko-to-majo-no-kyoushitsu,Kuroneko to Majo no Kyoushitsu,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kuroneko-to-majo-no-kyoushitsu
animeav1-yozakura-san-chi-no-daisakusen-2nd-season,Yozakura-san Chi no Daisakusen 2nd Season,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/yozakura-san-chi-no-daisakusen-2nd-season
animeav1-yowayowa-sensei,Yowayowa Sensei,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/yowayowa-sensei
animeav1-hokuto-no-ken-fist-of-the-north-star,Hokuto no Ken: Fist of the North Star,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/hokuto-no-ken-fist-of-the-north-star
animeav1-kanojo-okarishimasu-5th-season,"Kanojo, Okarishimasu 5th Season",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kanojo-okarishimasu-5th-season
animeav1-kamiina-botan-yoeru-sugata-wa-yuri-no-hana,"Kamiina Botan, Yoeru Sugata wa Yuri no Hana",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kamiina-botan-yoeru-sugata-wa-yuri-no-hana
animeav1-kill-ao,Kill Ao,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kill-ao
animeav1-awajima-hyakkei,Awajima Hyakkei,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/awajima-hyakkei
animeav1-kami-no-shizuku,Kami no Shizuku,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kami-no-shizuku
animeav1-kujima-utaeba-ie-hororo,Kujima Utaeba Ie Hororo,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/kujima-utaeba-ie-hororo
animeav1-himekishi-wa-barbaroi-no-yome,Himekishi wa Barbaroi no Yome,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/himekishi-wa-barbaroi-no-yome
animeav1-hidarikiki-no-eren,Hidarikiki no Eren,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/hidarikiki-no-eren
animeav1-megami-isekai-tensei-nani-ni-naritai-desu-ka-ore-yuusha-no-rokkotsu-de,"Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""",TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/megami-isekai-tensei-nani-ni-naritai-desu-ka-ore-yuusha-no-rokkotsu-de
animeav1-tadaima-ojamasaremasu,"Tadaima, Ojamasaremasu!",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tadaima-ojamasaremasu
animeav1-otaku-ni-yasashii-gal-wa-inai,Otaku ni Yasashii Gal wa Inai!?,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/otaku-ni-yasashii-gal-wa-inai
animeav1-rezero-kara-hajimeru-isekai-seikatsu-4th-season,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,TV,,,,fantasy,,,AnimeAV1,https://animeav1.com/media/rezero-kara-hajimeru-isekai-seikatsu-4th-season
animeav1-hyakki-yakoushou,Hyakki Yakoushou,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/hyakki-yakoushou
animeav1-liar-game,Liar Game,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/liar-game
animeav1-class-de-2-banme-ni-kawaii-onnanoko-to-tomodachi-ni-natta,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/class-de-2-banme-ni-kawaii-onnanoko-to-tomodachi-ni-natta
animeav1-replica-datte-koi-wo-suru,"Replica datte, Koi wo Suru.",TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/replica-datte-koi-wo-suru
animeav1-nippon-sangoku,Nippon Sangoku,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/nippon-sangoku
animeav1-marriagetoxin,Marriagetoxin,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/marriagetoxin
animeav1-higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa-tami-no-tame-ni-tsukushimasu-season-2,Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Season 2,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/higeki-no-genkyou-to-naru-saikyou-gedou-last-boss-joou-wa-tami-no-tame-ni-tsukushimasu-season-2
animeav1-ghost-concert-missing-songs,Ghost Concert: Missing Songs,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ghost-concert-missing-songs
animeav1-ponkotsu-fuuki-iin-to-skirt-take-ga-futekisetsu-na-jk-no-hanashi,Ponkotsu Fuuki Iin to Skirt-take ga Futekisetsu na JK no Hanashi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ponkotsu-fuuki-iin-to-skirt-take-ga-futekisetsu-na-jk-no-hanashi
animeav1-tongari-boushi-no-atelier,Tongari Boushi no Atelier,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/tongari-boushi-no-atelier
animeav1-jishou-akuyaku-reijou-na-konyakusha-no-kansatsu-kiroku,Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku.,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/jishou-akuyaku-reijou-na-konyakusha-no-kansatsu-kiroku
animeav1-ingoku-danchi,Ingoku Danchi,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/ingoku-danchi
animeav1-niwatori-fighter,Niwatori Fighter,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/niwatori-fighter
animeav1-marika-chan-no-koukando-wa-bukkowareteiru,Marika-chan no Koukando wa Bukkowareteiru,TV,,,,anime,,,AnimeAV1,https://animeav1.com/media/marika-chan-no-koukando-wa-bukkowareteiru
